Food Name,Standard Quantity,Type,Calories (kcal),Protein (g),Fat (g),Carbohydrates (g),Fiber (g),Sugars (g),Glycemic Index,Suitable for Diabetes,Suitable for Blood Pressure,Calcium (mg),Cholesterol (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Monounsaturated Fats (g),Nutrition Density,Phosphorus (mg),Polyunsaturated Fats (g),Potassium (mg),Saturated Fats (g),Selenium (mcg),Sodium (mg),Vitamin A (mcg),Vitamin B1 (mg),Vitamin B11 (mcg),Vitamin B12 (mcg),Vitamin B2 (mg),Vitamin B3 (mg),Vitamin B5 (mg),Vitamin B6 (mg),Vitamin C (mg),Vitamin D (mcg),Vitamin E (mg),Vitamin K (mcg),Water (g),Zinc (mg)
hubbard squash raw,100g,Carbohydrates,46,1.924,0.502,8.447,4.5,4.6,40,1,1,0.086,0,16.2,0.033,0.5,22,0.096,17.795,0.2,0.2,24.4,0.1,371.2,0.094,0,0,0.066,0.098,0,0.025,0.6,0.5,0.2,12.8,0,0.2,0.102,0.02
huckleberries,100g,Carbohydrates,78,4.216,2.108,10.541,10,6.993,38,1,1,100,4.178,10.219,1.479,97,7.348,1.557,66.5,81.581,1.174,471,1.031,56.024,334,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,75.53,0.727
hummus,100g,Carbohydrates,170,5.514,8.27,18.378,6,0.7,6,1,1,40,0,0.6,3.8,40,1.4,12,236.1,270.6,5.2,240,2.8,0.038,230,0,0.2,0.1,0,0.1,1,0.7,1,19.4,0,1.8,0.059,0.16,2.7
"hummus (chickpea spread, various middle eastern countries)",100g,Carbohydrates,153,0,0,38.25,13,6.993,22,1,1,155,4.178,10.219,1.479,25,7.348,1.557,39.38,81.581,1.174,238,1.031,56.024,178,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,0.076,0.727
hungarian pepper,100g,Carbohydrates,8,0.18,0.09,1.618,0.3,1,40,1,1,3.2,0,0.017,0.1,4.3,0.007,0.086,30.8,7.8,0.099,54.5,0.082,0.058,0.028,0,0.021,0.053,0,0.008,0.3,0.064,0.1,25.1,0,0.1,0.064,24.7,0.047
hushpuppies,100g,Carbohydrates,512,0,0,100,4.3,3.1,60,1,1,422.6,68.4,0.1,4.6,36.5,0.3,5,533.994,287.3,11,218.9,3.2,0.078,1,0.074,0.5,0.1,0.008,0.5,4.2,0.5,0.2,0.3,0,1.9,0.01,0,1
hyacinth beans cooked,100g,Carbohydrates,227,15.334,1.068,39.014,0,0,30,1,1,0,0,77.6,0.7,8.9,159.1,0.076,191.981,0.9,0.5,232.8,0.2,653.8,0,134.1,0,0.5,0.023,0,0.001,0.8,0.6,0.014,0,0,0,0.003,0.021
hyacinth beans raw,100g,Protein,722,93.26,6.502,0.238,53.8,0,30,1,1,273,0,2.8,10.7,594.3,3.3,0.2,518.8,781.2,1.5,2593.5,0.6,0.062,0.073,0,2.4,0.008,0,0.3,3.4,2.6,0.3,0,0,0,0,0,19.5
ice tea lemon flavor nestle,100g,Carbohydrates,88,0,0,22,0,22.3,65,1,1,7.4,0,0.068,0,2.5,0.3,0,29.7,88.2,0,46.6,0,0,0.063,0,0,0,0,0,0,0,0,0,0,0,0,0.223,0.1
iceberg lettuce,100g,Carbohydrates,8,0.435,0.039,1.477,0.7,1.1,30,1,1,0.079,0,10.3,0.033,0.2,4,0.015,3.064,0.061,0.076,11.4,0.089,80.4,0.022,0,0,0.015,0.07,0,0.059,0.061,0.046,0.042,1.6,0,0.1,54.5,0.007
idli,100g,Carbohydrates,39,1.789,0.358,7.156,1,6.993,85,1,1,15,4.178,10.219,1.479,7,7.348,1.557,35.92,81.581,1.174,68,1.031,56.024,28,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,75.53,0.727
"idli (fermented rice and lentil cake, india)",100g,Carbohydrates,142,0,0,35.5,6,6.993,47,1,1,75,4.178,10.219,1.479,75,7.348,1.557,33.48,81.581,1.174,454,1.031,56.024,7,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,0.076,0.727
indian squash cooked,100g,Carbohydrates,38,0.723,0.413,7.848,3.5,4.7,40,1,1,0,0,0,0,0,0,0,12.2,0,0,0,0,0,0,0,0.064,0.098,0,0.016,0.2,0.1,0.025,0,0,0,0,0.226,0
"injera (fermented teff flatbread, ethiopia)",100g,Carbohydrates,110,7.143,1.429,17.142,4,6.993,33,1,1,142,4.178,10.219,1.479,30,7.348,1.557,28.53,81.581,1.174,290,1.031,56.024,245,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,74.286,0.727
instant cappuccino powder,100g,Carbohydrates,53,0.402,0.704,11.264,0.2,9,40,1,1,17.3,0.3,0.078,0.036,5.6,0.014,0.2,29.908,23.8,0.098,108,0.4,0.064,0.074,0,0.073,0.067,0.037,0.087,0.3,0.037,0.011,0.1,0,0.08,0.062,0.2,0.058
instant coffee powder,100g,Carbohydrates,353,12.135,0.497,74.996,0,0,60,1,1,141,0,0.1,4.4,327,1.7,0.09,233.5,303,0.2,3535,0.2,0.024,0.051,0,0.09,0,0,0.031,28.2,0.019,0.073,0,0,0,0.077,3.1,0.4
instant coffee powder decaffeinated,100g,Carbohydrates,6,0.171,0.059,1.196,0,0,40,1,1,2.5,0,0.031,0.056,5.6,0.084,0.031,4.121,5.1,0.075,63,0.015,0.015,0.09,0,0,0,0,0.072,0.5,0.077,0,0,0,0,0.015,0.051,0.004
instant coffee with water,100g,Carbohydrates,4,0.25,0,0.75,0,0,0,1,1,7.2,0,0.026,0.015,7.2,0.001,0,8.027,5.4,0.025,53.7,0.051,0.054,0.015,0,0,0,0,0.073,0.4,0.089,0,0,0,0,0,0.177,0.013
instant coffee with water decaffeinated,100g,Carbohydrates,4,0.2,0,0.8,0,0,0,1,1,7.2,0,0.046,0.042,7.2,0.098,0,8.247,5.4,0.068,64.4,0.024,0.02,0.093,0,0,0,0,0.058,0.5,0.092,0,0,0,0,0,0.177,0.053
instant lemon tea,100g,Carbohydrates,2,0.125,0,0.375,0,0.047,0,1,1,0,0,6,0.026,0.02,4,0,0.494,0.8,0,2,0,36,0.046,0,0,0,0,0,0.003,0.023,0.06,0.009,0,0,0,0.199,0
instant lemon tea sweetened,100g,Carbohydrates,91,0.071,0.199,22.231,0.3,21.6,65,1,1,5.2,0,0.076,0,2.6,0.3,0.046,28.147,0,0.093,38.9,0.018,0.017,0.089,0,0.083,0,0,0,0.006,0,0.044,0,0,0,0,0.236,0.048
instant white rice cooked,100g,Carbohydrates,193,3.712,0.825,42.683,1,0,70,1,1,13.2,0,0.088,2.9,8.3,0.6,0.1,62.9,61.1,0.032,14.9,0.088,0.006,0.001,0,0.1,0.1,0,0.059,2.9,0.075,0.059,0,0,0.008,0,0.119,0.8
instant white rice raw,100g,Carbohydrates,361,7.622,0.927,80.543,1.8,0.026,70,1,1,20.9,0,0.2,6,13.3,0.9,0.1,115.2,112.1,0.2,25.7,0.1,0.011,0.039,0,0.9,0.3,0,0.044,6.7,0.4,0.1,0,0,0.079,0.095,8,1.4
irish moss,100g,Carbohydrates,85,0,0,21.25,4,2.04,52,1,1,161,7,0.007,0.02,50,7.348,0.614,25.99,7,0.105,495,1.53,0.2,229,27,0.012,0.079,0.01,0.064,0.135,0.507,0.003,0,3.945,0.07,0.3,0.087,0.04
irishmoss,100g,Carbohydrates,2,0.025,0.033,0.401,0.082,0.098,0,1,1,3.6,0,0.055,0.4,7.2,0.029,0.096,4.975,7.9,0.091,3.2,0.06,0.098,0.084,0,0.004,0.02,0,0.027,0.009,0.036,0.061,0.2,0,0.04,0.012,4.1,0.052
italian dressing,100g,Fat,35,0.032,3.08,1.788,0,1.6,40,1,1,0.059,0,1.9,0.063,0.081,0.7,0.8,5.108,0.099,1.6,2.2,0.4,12.3,0.1,0.083,0,0.042,0,0,0,0.097,0,0.011,0.025,0,0.3,9.3,0.055
italian dressing fat free,100g,Carbohydrates,7,0.115,0.115,1.377,0.077,1.2,40,1,1,4.2,0.3,0.046,0.036,0.7,0.069,0.018,5.71,15.3,0.022,14.3,0.099,0.096,0.2,0,0.081,0.031,0.07,0.017,0.073,0,0,0.026,0,0.1,0.042,12,0.059
italian salami,100g,Fat,43,2.226,3.744,0.101,0,0.1,0,1,1,1,8,0.057,0.2,2.2,0.052,1.8,7.2,22.9,0.4,34,1.3,0.035,0.2,0,0.025,0.024,0.071,0.009,0.6,0.1,0.015,0,0,0,0,3.5,0.4
ivy gourd (india),100g,Carbohydrates,136,5.132,2.566,23.094,9,6.993,49,1,1,185,4.178,10.219,1.479,52,7.348,1.557,33.94,81.581,1.174,557,1.031,56.024,463,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,69.208,0.727
jackfruit,100g,Carbohydrates,121,7.289,4.373,13.121,10,6.7,35,1,1,19,0,8.4,0.071,92,10.2,0.004,9.574,0.081,0.002,107,0.071,156.8,238,0,0,0.09,0.019,0,0.031,0.3,0.073,0.1,4.8,0,0.1,25.7,0
jacob's cattle beans,100g,Carbohydrates,190,15.545,3.455,24.182,10,6.993,49,1,1,38,4.178,10.219,1.479,26,7.348,1.557,29.71,81.581,1.174,312,1.031,56.024,61,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,56.818,0.727
jalapeno pepper,100g,Carbohydrates,4,0.1,0.002,0.896,0.4,0.6,0,1,1,0.011,0,1.7,0.045,0.033,2.1,0.018,1.593,0.059,0.095,3.6,0.06,34.7,0.028,0,0,0.066,0.048,0,0.023,0.2,0.074,0.079,16.6,0,0.5,12.8,0.069
jalapeno peppers canned,100g,Carbohydrates,37,1.132,1.132,5.572,3.5,2.9,40,1,1,31.3,0,0.2,2.6,20.4,0.2,0.031,60,24.5,0.7,262.5,0.1,0.03,2.3,0,0.017,0.092,0,0.046,0.5,0.6,0.3,13.6,0,0.9,0.06,0.121,0.5
japanese cabbage,100g,Carbohydrates,45,2.379,0.198,8.425,4.7,2,30,1,1,72,0,0.037,0.7,18,0.4,0.081,89.6,64.5,0.092,1279.5,0.092,0.008,0.4,0,0,0.094,0,0.029,0.3,0.3,0.2,1.1,0,0.2,0.2,0.137,0.3
japanese chestnuts roasted,100g,Carbohydrates,57,0.811,0.203,12.982,0,0,30,1,1,9.9,0,0.2,0.6,18.1,0.6,0.1,32.2,26.3,0.094,120.8,0.08,0,0.079,0,0.1,0.022,0,0,0.2,0.1,0.1,7.9,0,0,0,14.1,0.4
japanese persimmon,100g,Carbohydrates,118,0.897,0.269,27.997,6,21.1,65,1,1,0.066,0,13.4,0.2,0.3,15.1,0.077,38.927,0.6,0.086,28.6,0.089,270.5,0.067,0,0,0.063,0.018,0,0.027,0.2,0,0.2,12.6,0,1.2,0.135,0.024
japanese persimmon dried,100g,Carbohydrates,93,0.448,0.179,22.399,4.9,0,50,1,1,8.5,0,0.2,0.3,10.5,0.5,0,39.4,27.5,0,272.7,0,0,0.002,0,0,0,0,0.053,0.019,0,0,0,0,0,0,7.8,0.1
japanese soba noodles cooked,100g,Carbohydrates,113,0,0,28.25,0,0,55,1,1,4.6,0,0.084,0.5,10.3,0.4,0.085,35.4,28.5,0.007,39.9,0.026,0,0.1,0,0.1,0.022,0,0.097,0.6,0.3,0.026,0,0,0,0,0.083,0.1
japanese soba noodles dry,100g,Carbohydrates,95,3.796,0.185,19.537,0,0,55,1,1,9.9,0,0.035,0.8,26.9,0.4,0.035,36.1,71.9,0.094,71.3,0.084,0,0.2,0,0.1,0.023,0,0.015,0.9,0.3,0.009,0,0,0,0,1.9,0.5
japanese somen noodles cooked,100g,Carbohydrates,231,7.196,0.308,49.86,0,0,55,1,1,14.1,0,0.082,0.9,3.5,0.4,0.062,70.8,47.5,0.1,51,0.006,0,0.3,0,0.029,0.039,0,0.046,0.2,0.3,0.051,0,0,0,0,0.119,0.4
japanese somen noodles dry,100g,Carbohydrates,101,3.278,0.205,21.511,1.2,0,55,1,1,6.5,0,0.052,0.4,7.9,0.1,0.013,32.5,22.6,0.012,46.4,0,0,0.5,0,0,0.028,0,0.086,0.2,0.1,0.098,0,0,0,0,2.6,0.1
java plum,100g,Carbohydrates,2,0.028,0.024,0.417,0,0,0,1,1,0.6,0,0,0.054,0.5,0,0,1.624,0.5,0,2.4,0,0,0.063,0,0.051,0,0,0.058,0.042,0,0.075,0.4,0,0,0,2.5,0
jeijoa,100g,Carbohydrates,148,1.536,0.904,33.431,15.6,19.9,50,1,1,41.3,0,0.006,0.3,21.9,0.2,0.1,176.8,46.2,0.3,418,0.3,0,0.041,0,0.001,0.071,0,0.015,0.7,0.6,0.2,79.9,0,0.4,0.041,0.202,0.1
jellies,100g,Carbohydrates,56,0.005,0.065,13.849,0.2,10.8,40,1,1,1.5,0,0.012,0.084,1.3,0.096,0.059,16.779,1.3,0.071,11.3,0.033,0.1,0.016,0,0.055,0.098,0,0.1,0.039,0.045,0.046,0.2,0,0,0.063,6.3,0.041
jellybeans,100g,Carbohydrates,4,0,0.039,0.912,0.083,0.8,30,1,1,0.08,0,0.038,0.029,0.055,0.013,0,1.216,0.027,0,0.4,0,0.052,0.076,0,0.04,0,0,0.017,0.099,0.098,0.09,0,0,0,0,0.051,0.032
jellyfish dried,100g,Protein,21,3.36,0.84,0,0,0,0,1,1,1.2,2.9,0.08,1.3,1.2,0,0.1,6.517,11.6,0.3,1.7,0.2,0.014,5.6,0.024,0.082,0.033,0,0.05,0.1,0,0.054,0,0,0.05,0.059,39.4,0.2
jerusalem artichoke,100g,Carbohydrates,46,2.286,0.286,8.571,8,2.08,23,1,1,54,39,0.041,0.24,55,7.348,7.527,92.83,88,15.171,208,8.274,4.4,337,62,0.024,0.079,0.2,0.1,0.205,0.507,0.049,2,3.945,1.27,56.6,55.65,0.53
jerusalem artichoke/sunchoke (north america),100g,Carbohydrates,108,0,0,27,10,6.993,16,1,1,134,4.178,10.219,1.479,85,7.348,1.557,44.26,81.581,1.174,389,1.031,56.024,123,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,0.076,0.727
jerusalem artichokes,100g,Carbohydrates,110,2.815,0.044,24.586,2.4,14.4,50,1,1,21,0,0.2,5.1,25.5,0.014,0.065,63.742,117,0.036,643.5,0,0.083,0.011,0,0.3,0.052,0,0.049,2,0.6,0.1,6,0,0.3,0.014,0.117,0.2
jews ear,100g,Carbohydrates,25,0.422,0.08,5.648,0,0,40,1,1,15.8,0,0.4,0.6,24.8,0.04,0,24.249,13.9,0,42.6,0,0.034,0.027,0,0.002,0.009,0,0.2,0.012,2,0.082,0.6,0,0,0,91.7,0.7
jicama,100g,Carbohydrates,36,0,0,9,5,1.8,37,1,1,36,0,0.048,0.6,39,7.348,0.005,90.32,18,0.043,551,0.021,0.7,92,1,0.02,0.079,0,0.029,0.2,0.507,0.042,20.2,3.945,0.46,0.3,0.09,0.16
jicama (mexico),100g,Carbohydrates,127,0,0,31.75,2,1.8,24,1,1,27,0,0.048,0.6,29,7.348,0.005,29.43,18,0.043,142,0.021,0.7,103,1,0.02,0.079,0,0.029,0.2,0.507,0.042,20.2,3.945,0.46,0.3,0.09,0.16
jicama (southeast asia),100g,Carbohydrates,133,0,0,33.25,11,6.993,25,1,1,197,4.178,10.219,1.479,48,7.348,1.557,34.25,81.581,1.174,414,1.031,56.024,263,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,0.076,0.727
"jowar (sorghum, india)",100g,Carbohydrates,180,0,0,45,10,6.993,33,1,1,10,4.178,10.219,1.479,68,7.348,1.557,31.84,81.581,1.174,537,1.031,56.024,195,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,0.076,0.727
jujube,100g,Carbohydrates,172,0,0,43,8,6.993,52,1,1,122,4.178,10.219,1.479,58,7.348,1.557,22.08,81.581,1.174,448,1.031,56.024,155,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,0.076,0.727
jute cooked,100g,Carbohydrates,32,2.573,0.161,5.065,1.7,0.9,40,1,1,183.6,0,0.2,2.7,53.9,0.1,0.022,226.4,62.6,0.022,478.5,0.004,0.052,0.043,0,0.021,0.076,0,0.2,0.8,0.02,0.5,28.7,0,0.083,0.059,75.8,0.7
jute raw,100g,Carbohydrates,10,1.082,0.038,1.332,0,0,40,1,1,0,0,58.2,0.049,1.3,17.9,0.026,3.197,0.009,0.08,23.2,0,156.5,0.042,0,0,0.043,0.02,0,0.2,0.4,0.011,0.2,10.4,0,0,24.6,0.009
kabocha squash,100g,Carbohydrates,156,0,0,39,3,15.62,23,1,1,88,38,0.054,0.93,58,7.348,3.02,11.87,77,2.004,583,2.313,7.9,419,120,0.1,0.079,0.19,0.17,0.84,0.507,0.09,2.5,3.945,0.54,4.9,0.06,0.45
